"eid","exercise","Short YouTube Demonstration","InDepth YouTube Explanation","Difficulty Level","Target Muscle Group","Prime Mover Muscle","Secondary Muscle","Tertiary Muscle","Primary Equipment","Secondary Equipment","Body Region","Force Type","mechanics","Primary Exercise Classification","setsxreps"
1542,"Dumbbell Goblet Alternating Forward Lunge","https://youtu.be/MjHkEW-AMQI?si=EyW7vqzwyfCJv1bN",NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Dumbbell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1543,"Dumbbell Goblet Alternating Reverse Lunge","https://youtu.be/YidVOnuiDfc?si=ECuN-ZTMBkyH_maZ",NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus","Biceps Femoris","Dumbbell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1544,"Clubbell Order Alternating Lateral Lunge",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Clubbell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1545,"Clubbell Order Alternating Forward Lunge",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Clubbell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1546,"Clubbell Order Alternating Reverse Lunge",NULL,"https://youtu.be/dNrYT5iU7BQ?si=VgjB2U40EdHaPV2P","Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus","Biceps Femoris","Clubbell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1547,"Double Clubbell Order Alternating Lateral Lunge",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Clubbell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1548,"Double Clubbell Order Alternating Forward Lunge",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Clubbell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1549,"Double Clubbell Order Alternating Reverse Lunge",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus","Biceps Femoris","Clubbell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1550,"Single Arm Clubbell Order Alternating Lateral Lunge",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Clubbell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1551,"Single Arm Clubbell Order Alternating Forward Lunge",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Clubbell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1552,"Single Arm Clubbell Order Alternating Reverse Lunge",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus","Biceps Femoris","Clubbell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1553,"Clubbell Front Flag Hold Alternating Lateral Lunge",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Clubbell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1554,"Clubbell Front Flag Hold Alternating Forward Lunge",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Clubbell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1555,"Clubbell Front Flag Hold Alternating Reverse Lunge",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus","Biceps Femoris","Clubbell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1556,"Double Clubbell Front Flag Hold Alternating Lateral Lunge",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Clubbell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1557,"Double Clubbell Front Flag Hold Alternating Forward Lunge",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Clubbell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1558,"Double Clubbell Front Flag Hold Alternating Reverse Lunge",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus","Biceps Femoris","Clubbell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1559,"Single Arm Clubbell Front Flag Hold Alternating Lateral Lunge",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Clubbell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1560,"Single Arm Clubbell Front Flag Hold Alternating Forward Lunge",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Clubbell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1561,"Single Arm Clubbell Front Flag Hold Alternating Reverse Lunge",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus","Biceps Femoris","Clubbell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1562,"Landmine Low Hold Alternating Lateral Lunge",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Landmine","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1563,"Landmine Goblet Alternating Lateral Lunge","https://youtu.be/-hWgE1P2aAA?si=7mOaE_-aBxpQNBSX",NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Landmine","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1564,"Landmine Goblet Alternating Reverse Lunge","https://youtu.be/VI0GDe_doBk?si=U14f8Dk6Ly1aMzBr",NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus","Biceps Femoris","Landmine","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1565,"Macebell Order Alternating Lateral Lunge",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Macebell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1566,"Macebell Order Alternating Forward Lunge",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Macebell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1567,"Macebell Order Alternating Reverse Lunge",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus","Biceps Femoris","Macebell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1568,"Double Kettlebell Bottoms Up Overhead Alternating Lateral Lunge",NULL,NULL,"Advanced","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Kettlebell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1569,"Double Kettlebell Bottoms Up Overhead Alternating Forward Lunge",NULL,NULL,"Advanced","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Kettlebell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1570,"Double Kettlebell Bottoms Up Overhead Alternating Reverse Lunge",NULL,NULL,"Advanced","Quadriceps","Quadriceps Femoris","Gluteus Maximus","Biceps Femoris","Kettlebell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1571,"Single Arm Kettlebell Suitcase Alternating Forward Lunge","https://youtu.be/aopAoW1cmUk?si=EyVEsJC9bLaQC6ND",NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Kettlebell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1572,"Double Dumbbell Front Rack Cyclist Squat","https://youtu.be/QV4DL31Ch94?si=6O9QTMoEB9MtwsZY",NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Dumbbell","Slant Board","Lower Body","Push","Compound","Bodybuilding","4x12"
1573,"Double Dumbbell Overhead Cyclist Squat",NULL,NULL,"Intermediate","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Dumbbell","Slant Board","Lower Body","Push","Compound","Bodybuilding","4x12"
1574,"Single Arm Dumbbell Front Rack Cyclist Squat","https://youtu.be/eGKpS3AxCVA?si=-uyv4kyU-FY0yBfB",NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Dumbbell","Slant Board","Lower Body","Push","Compound","Bodybuilding","4x12"
1575,"Single Arm Dumbbell Overhead Cyclist Squat","https://youtu.be/Fm-EgA1xP4g?si=TXFdciSwYJ3flVng",NULL,"Intermediate","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Dumbbell","Slant Board","Lower Body","Push","Compound","Bodybuilding","4x12"
1576,"Bodyweight Alternating Lateral Lunge","https://youtu.be/FvJS_MSN4Lo?si=Z7h-t5HEEQC6trw6",NULL,"Beginner","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Bodyweight","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1577,"Bodyweight Alternating Forward Lunge","https://youtu.be/0RqJM6GM5bg?si=eL5TvNrMzUaI1oOW","https://youtu.be/CpvfDjEulYQ?si=y9FyEYKBCzncPpqK","Beginner","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Bodyweight","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1578,"Bodyweight Alternating Reverse Lunge","https://youtu.be/OX0fKkaY6_c?si=T0Ta2iyvXrGIGA7w",NULL,"Beginner","Quadriceps","Quadriceps Femoris","Gluteus Maximus","Biceps Femoris","Bodyweight","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1579,"Macebell Order Cyclist Squat",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Macebell","Slant Board","Lower Body","Push","Compound","Bodybuilding","4x12"
1580,"Double Dumbbell Overhead Squat","https://youtu.be/iGLwbS5aHY4?si=f7TNizeYPw8xX1xR",NULL,"Intermediate","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Dumbbell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1581,"Single Arm Dumbbell Overhead Squat","https://youtu.be/SokWJEUYgfc?si=OWsmg8u6_2Xz09z9",NULL,"Intermediate","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Dumbbell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1583,"Double Dumbbell Front Rack Bulgarian Split Squat","https://youtu.be/6DO1p1pOAwM?si=zeLSk3SSoVkoP_B9",NULL,"Intermediate","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Dumbbell","Bench (Flat)","Lower Body","Push","Compound","Bodybuilding","4x12"
1584,"Double Dumbbell Overhead Bulgarian Split Squat","https://youtu.be/7rGFnvK6KkE?si=SL3VLXM4o_8TDV_0",NULL,"Advanced","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Dumbbell","Bench (Flat)","Lower Body","Push","Compound","Bodybuilding","4x12"
1585,"Single Arm Dumbbell Overhead Ipsilateral Bulgarian Split Squat",NULL,NULL,"Advanced","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Dumbbell","Bench (Flat)","Lower Body","Push","Compound","Bodybuilding","4x12"
1586,"Single Arm Dumbbell Suitcase Contralateral Bulgarian Split Squat","https://youtu.be/iylKd9ymBQE?si=D_mNdhDHgU7B8xbD",NULL,"Intermediate","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Dumbbell","Bench (Flat)","Lower Body","Push","Compound","Bodybuilding","4x12"
1587,"Single Arm Dumbbell Suitcase Ipsilateral Bulgarian Split Squat","https://youtu.be/7oQoOglG_cA?si=JLNoB9O2s2KyOAf1",NULL,"Intermediate","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Dumbbell","Bench (Flat)","Lower Body","Push","Compound","Bodybuilding","4x12"
1588,"Single Arm Dumbbell Front Rack Contralateral Bulgarian Split Squat","https://youtu.be/-vKdvtdkRRc?si=CPo0dP5KaIc0TJu5",NULL,"Intermediate","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Dumbbell","Bench (Flat)","Lower Body","Push","Compound","Bodybuilding","4x12"
1589,"Single Arm Dumbbell Front Rack Ipsilateral Bulgarian Split Squat","https://youtu.be/pEZWYmpCzu8?si=i70Ip_o4npwew5bY",NULL,"Intermediate","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Dumbbell","Bench (Flat)","Lower Body","Push","Compound","Bodybuilding","4x12"
1591,"Macebell Order Walking Lunge",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Macebell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1592,"Suspension Alternating Lateral Lunge","https://youtu.be/0bqrj4BimaI?si=03pxBE_5_ozxIivb",NULL,"Beginner","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Suspension Trainer","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1593,"Bulgarian Bag Back Rack Alternating Lateral Lunge","https://youtu.be/fJePN1sD5ok?si=g-YYXG1x8L53Vuv-",NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Bulgarian Bag","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1594,"Bulgarian Bag Back Rack Walking Lunge","https://youtu.be/FNr5JBGrJTU?si=bn24rl-sBOt5WTfx",NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Bulgarian Bag","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1595,"Bulgarian Bag Back Rack Alternating Forward Lunge","https://youtu.be/a8y1Qwir7YQ?si=izeBmxPLl4E0ekvy","https://youtu.be/mQTDtKsvU1w?si=T-FpFQkffSsSciAJ","Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Bulgarian Bag","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1598,"Sandbag Front Rack Alternating Lateral Lunge","https://youtu.be/0el8H9fy3g0?si=BdlZ75xoh6Xq1wpJ","https://youtu.be/LnzGMMZkbVQ?si=zqERNyO8tP3t4fpr","Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Sandbag","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1599,"Sandbag Front Rack Walking Lunge","https://youtu.be/mGwXPP-QKko?si=pUfEZOZPOOYaTV3n",NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Sandbag","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1600,"Sandbag Front Rack Alternating Forward Lunge","https://youtu.be/1L2HnCKmsRs?si=fIVyc7oXYDkkRzgJ","https://youtu.be/DOg-FzxnFKE?si=cD9DX5H-0kSOHKrL","Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Sandbag","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1601,"Sandbag Front Rack Alternating Reverse Lunge","https://youtu.be/SJe_O4NPU-E?si=OKoj1OGsurlSWTEA",NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus","Biceps Femoris","Sandbag","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1602,"Plate Overhead Walking Lunge","https://youtu.be/hVIaVvyY-H8?si=HsyRlDh-j--gHbsk",NULL,"Intermediate","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Weight Plate","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1603,"Plate Overhead Alternating Lateral Lunge",NULL,NULL,"Intermediate","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Weight Plate","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1604,"Plate Overhead Alternating Forward Lunge","https://youtu.be/k6pHuYm2nV8?si=ttotAgiXtgPihuX3",NULL,"Intermediate","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Weight Plate","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1605,"Plate Overhead Alternating Reverse Lunge","https://youtu.be/3kT3OQhMo54?si=noy7Pa8qVKDSEIoP",NULL,"Intermediate","Quadriceps","Quadriceps Femoris","Gluteus Maximus","Biceps Femoris","Weight Plate","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1608,"Bodyweight Tuck Planche","https://youtu.be/VFYZh24e0RI?si=_Vjvy9tWBn4nc7l_","https://youtu.be/mR-8cNSYvYE?si=AV7-k3IZs0hk0Xw4","Advanced","Abdominals","Rectus Abdominis","Biceps Brachii",NULL,"Bodyweight","None","Midsection","Other","Compound","Calisthenics","4x20"
1610,"Double Kettlebell Push Up to L Sit","https://youtu.be/V-157r2C-qU",NULL,"Expert","Chest","Pectoralis Major","Rectus Abdominis",NULL,"Kettlebell","None","Upper Body","Push","Compound","Calisthenics","4x20"
1611,"Bar L Sit Hang","https://youtu.be/WHi1bvZLwlw?si=NKvlsqG8aI-wDQfJ",NULL,"Intermediate","Abdominals","Rectus Abdominis",NULL,NULL,"Pull Up Bar","None","Midsection","Other","Compound","Calisthenics","4x20"
1612,"Ring L Sit Hang","https://youtu.be/8DMns2IRlg4?si=hbMMsP9DfSOthR7b","https://youtu.be/iyr4PtWBF08?si=QcxDk9hLR9xK8GT8","Intermediate","Abdominals","Rectus Abdominis",NULL,NULL,"Gymnastic Rings","None","Midsection","Other","Compound","Calisthenics","4x20"
1613,"Single Arm Bar L Sit Hang","https://youtu.be/HvdS2ClV9KU?feature=shared",NULL,"Advanced","Abdominals","Rectus Abdominis",NULL,NULL,"Pull Up Bar","None","Midsection","Other","Compound","Calisthenics","4x20"
1614,"Single Arm Ring L Sit Hang","https://youtu.be/_o_4N2yJwAw?si=Hum3bBKngYoqfDUc",NULL,"Advanced","Abdominals","Rectus Abdominis",NULL,NULL,"Gymnastic Rings","None","Midsection","Other","Compound","Calisthenics","4x20"
1615,"Single Arm Kettlebell Suitcase Alternating Reverse Lunge","https://youtu.be/CQR7UUijw38?si=ncO4L8hVq2h4htQQ",NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus","Biceps Femoris","Kettlebell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1616,"Parallette L Sit Flutter Kicks","https://youtu.be/zDRj6Sw6tw8?si=Fp368ZWQaw_YDQay",NULL,"Advanced","Abdominals","Rectus Abdominis",NULL,NULL,"Parallette Bars","None","Midsection","Other","Compound","Calisthenics","4x20"
1617,"Bodyweight Single Arm Contralateral Single Leg Push Up","https://youtu.be/I6f7uUmozDY",NULL,"Expert","Chest","Pectoralis Major","Rectus Abdominis",NULL,"Bodyweight","None","Upper Body","Push","Compound","Calisthenics","4x20"
1618,"Parallette Tuck Planche Push Up","https://youtu.be/hFHpQAqqMDA",NULL,"Expert","Chest","Pectoralis Major","Triceps Brachii","Rectus Abdominis","Parallette Bars","None","Upper Body","Push","Compound","Calisthenics","4x20"
1619,"Ring Maltese Push Up","https://youtu.be/kpOpHoywVKU",NULL,"Expert","Chest","Pectoralis Major","Triceps Brachii",NULL,"Gymnastic Rings","None","Upper Body","Push","Compound","Calisthenics","4x20"
1620,"Ring Tuck Planche Push Up",NULL,NULL,"Expert","Chest","Pectoralis Major","Triceps Brachii","Rectus Abdominis","Gymnastic Rings","None","Upper Body","Push","Compound","Calisthenics","4x20"
1621,"Parallette L Sit to Tuck Planche Push Up",NULL,"https://youtu.be/uI8nV93qBOE?si=dEvkASEnkOSkbUd8","Expert","Chest","Pectoralis Major","Triceps Brachii","Rectus Abdominis","Parallette Bars","None","Upper Body","Push","Compound","Calisthenics","4x20"
1622,"Ring L Sit to Tuck Planche Push Up",NULL,NULL,"Expert","Chest","Pectoralis Major","Triceps Brachii","Rectus Abdominis","Gymnastic Rings","None","Upper Body","Push","Compound","Calisthenics","4x20"
1623,"Bar Advanced Tuck Front Lever Pull Up","https://youtu.be/cVdb8oUGKAw?si=tC4dDZ3QsBtE_4_m",NULL,"Expert","Back","Latissimus Dorsi",NULL,NULL,"Pull Up Bar","None","Upper Body","Pull","Compound","Calisthenics","4x20"
1624,"Bar Gironda Sternum Chin Up","https://youtu.be/58QkcGVA12A?si=ddrndE8UqnvYVadB","https://youtu.be/kcWFzrolwHU?si=FzhQhg349iqrVu8i","Expert","Biceps","Biceps Brachii","Latissimus Dorsi",NULL,"Pull Up Bar","None","Upper Body","Pull","Compound","Calisthenics","4x20"
1625,"Bar L Sit Archer Pull Up",NULL,NULL,"Expert","Back","Latissimus Dorsi","Biceps Brachii",NULL,"Pull Up Bar","None","Upper Body","Pull","Compound","Calisthenics","4x20"
1626,"Bar Straddle Front Lever Pull Up",NULL,NULL,"Expert","Back","Latissimus Dorsi",NULL,NULL,"Pull Up Bar","None","Upper Body","Pull","Compound","Calisthenics","4x20"
1627,"Bar Strict Muscle Up","https://youtu.be/t8_M2aHiNDk?si=s9zri6LcdUJrvwbV",NULL,"Expert","Back","Latissimus Dorsi",NULL,NULL,"Pull Up Bar","None","Upper Body","Push & Pull","Compound","Calisthenics","4x20"
1628,"Bar Tuck Front Lever Pull Up",NULL,NULL,"Expert","Back","Latissimus Dorsi",NULL,NULL,"Pull Up Bar","None","Upper Body","Pull","Compound","Calisthenics","4x20"
1629,"Bodyweight Tuck Planche Push Up","https://youtu.be/U-MgWVM_2-Y?si=-XnkVL5OAVXtyCPu","https://youtu.be/4IISjdSCw5k?si=HWpyENQN5lT6kfEx","Expert","Chest","Pectoralis Major","Triceps Brachii","Rectus Abdominis","Bodyweight","None","Upper Body","Push","Compound","Calisthenics","4x20"
1630,"Double Clubbell Asynchronous Mill","https://youtu.be/2t7u5sapU1Q?si=KigwClnysDsb8CGJ",NULL,"Expert","Shoulders","Posterior Deltoids","Gluteus Maximus","Obliques","Clubbell","None","Upper Body","Pull","Compound","Ballistics","4x10"
1631,"Clubbell Order Step Up",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Clubbell","Plyo Box","Lower Body","Push","Compound","Bodybuilding","4x12"
1632,"Clubbell Order Alternating Step Up",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Clubbell","Plyo Box","Lower Body","Push","Compound","Bodybuilding","4x12"
1633,"Bodyweight L Sit","https://youtu.be/pO4BH0dKCIY?si=qKwpWcDltQZ0K61z","https://youtu.be/IUZJoSP66HI?si=4Rss_iv_l3qXCY_0","Expert","Abdominals","Rectus Abdominis",NULL,NULL,"Bodyweight","None","Midsection","Other","Compound","Calisthenics","4x20"
1634,"Bodyweight Single Arm L Sit","https://youtu.be/l-7PDo_nf-c?si=SV8BnhirXI2QflsN",NULL,"Master","Abdominals","Rectus Abdominis",NULL,NULL,"Bodyweight","None","Midsection","Other","Compound","Calisthenics","4x20"
1635,"Alternating Single Arm Kettlebell Low Hold Alternating Lateral Lunge","https://youtu.be/X8I4Uq4QgYE?si=0ZNJz2TPEC0nSZaa","https://youtu.be/jMMpHfKVb-s?si=9nnfdpAU8JLm1RqJ","Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Kettlebell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1636,"Single Arm Kettlebell Front Rack Alternating Lateral Lunge","https://youtu.be/vVElqek25fI?si=4-FGE3vFSRTkYdG4",NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Kettlebell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1637,"Single Arm Kettlebell Front Rack Alternating Forward Lunge","https://youtu.be/oOB02xJgzrA?si=IO-ooFFstcNesTGD",NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Kettlebell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1638,"Single Arm Kettlebell Front Rack Alternating Reverse Lunge","https://youtu.be/tildBryP8bI?si=mIky-m7uqR4kMvB3",NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus","Biceps Femoris","Kettlebell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1639,"Single Arm Kettlebell Bottoms Up Front Rack Alternating Lateral Lunge",NULL,NULL,"Intermediate","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Kettlebell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1640,"Single Arm Kettlebell Bottoms Up Front Rack Alternating Forward Lunge","https://youtu.be/q7sQB0_p7XQ?feature=shared",NULL,"Intermediate","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Kettlebell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1641,"Parallette V Sit to Pike Press Handstand","https://youtu.be/i3tkgdhZuj0?si=lupWBeLYXNXi2bV0",NULL,"Expert","Shoulders","Anterior Deltoids","Triceps Brachii","Rectus Abdominis","Parallette Bars","None","Upper Body","Push","Compound","Calisthenics","4x20"
1642,"Ring Pseudo Planche Push Up","https://youtu.be/f09iB8jbioo?si=MFJiOigiohOtQybY","https://youtu.be/uJ8BSKqNL2Q?si=yrWRLDv4E3twf0UP","Expert","Chest","Pectoralis Major","Anterior Deltoids",NULL,"Gymnastic Rings","None","Upper Body","Push","Compound","Calisthenics","4x20"
1643,"Single Arm Macebell Order Contralateral Cossack Squat",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Adductor Magnus","Gluteus Maximus","Macebell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1644,"Single Arm Macebell Order Low Switch Cossack Squat",NULL,NULL,"Intermediate","Quadriceps","Quadriceps Femoris","Adductor Magnus","Gluteus Maximus","Macebell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1645,"Single Arm Macebell Order Alternating Cossack Squat",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Adductor Magnus","Gluteus Maximus","Macebell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1646,"Single Arm Macebell Order Foot Elevated Contralateral Cossack Squat",NULL,NULL,"Intermediate","Quadriceps","Quadriceps Femoris","Adductor Magnus","Gluteus Maximus","Macebell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1647,"Stability Ball Feet Elevated Glute Bridge","https://youtu.be/8Ta_A9vAEGs?si=pSj3gDFijzwcALE4",NULL,"Novice","Glutes","Gluteus Maximus",NULL,NULL,"Stability Ball","None","Lower Body","Unsorted*","Compound","Bodybuilding","4x12"
1648,"Bodyweight Mountain Climber","https://youtu.be/kLh-uczlPLg?si=WfwS9PlCOc9d1t1N","https://youtu.be/cnyTQDSE884?si=-R4zNi4l233bGK8A","Novice","Abdominals","Rectus Abdominis",NULL,NULL,"Bodyweight","None","Midsection","Other","Compound","Calisthenics","4x20"
1650,"Bodyweight Straddle L Sit","https://youtu.be/XS7Y1jQ-kxs?si=hFDuiao7cTRRHUCT","https://youtu.be/FAkSQE9cLDM?si=8vu1ONbtVyBDEhZQ","Expert","Abdominals","Rectus Abdominis",NULL,NULL,"Bodyweight","None","Midsection","Other","Compound","Calisthenics","4x20"
1651,"Single Arm Kettlebell Bottoms Up Front Rack Alternating Reverse Lunge","https://youtu.be/xhyigP6lpAM?feature=shared",NULL,"Intermediate","Quadriceps","Quadriceps Femoris","Gluteus Maximus","Biceps Femoris","Kettlebell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1652,"Bodyweight Cossack Squat","https://youtu.be/lyMHR7F8lPA?si=An72TBlVkZQu4GMO",NULL,"Beginner","Quadriceps","Quadriceps Femoris","Adductor Magnus","Gluteus Maximus","Bodyweight","None","Lower Body","Push","Compound","Bodybuilding","4x12"
1653,"Bodyweight Wall Facing Handstand Push Up","https://youtu.be/ZDhNSacJLEE?si=aGw3Fw5a7Q34pWuk","https://youtu.be/gdhmNaZ7nAk?si=T4ilRD-M0KLF7m_h","Expert","Shoulders","Anterior Deltoids","Triceps Brachii",NULL,"Bodyweight","None","Upper Body","Push","Compound","Calisthenics","4x20"
1654,"Ring Pelican Push Up","https://youtu.be/4zSzWYRiBGI?si=NqLN5I_ZFwPkfPXM","https://youtu.be/FdHD9_QPrYQ?si=_YoFuGGgP9tX8_95","Expert","Chest","Pectoralis Major","Triceps Brachii","Biceps Brachii","Gymnastic Rings","None","Upper Body","Push","Compound","Calisthenics","4x20"
